Last_used_start	Last_used_stop	Access	Capability	AppName	Binary_full_path	FileID	ProgramID	UserSID	ID
2025-04-18 21:54:34	2025-04-18 21:54:34	Access OK	location	Windows Explorer	C:\Windows\explorer.exe	0000ebfaa732c68f6ea2504cd313a2a3bc081e64dd6b	0000f519feec486de87ed73cb92d3cac802400000000	S-1-5-21-2555952594-822551513-3886238188-1001	8877
2025-04-18 21:54:55	2025-04-18 21:54:55	Access OK	location	NVIDIA Share	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	00003d89ad31cd13e4df562cb2eff8ef47edd9cf4329	0006dc028ad4008f557c9985ac0e5a335f0900000904	S-1-5-21-2555952594-822551513-3886238188-1001	8878
2025-04-18 21:54:55	2025-04-18 21:54:55	Access OK	location	NVIDIA Share	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	00003d89ad31cd13e4df562cb2eff8ef47edd9cf4329	0006dc028ad4008f557c9985ac0e5a335f0900000904	S-1-5-21-2555952594-822551513-3886238188-1001	8879
2025-04-18 21:54:57	2025-04-18 21:54:57	Access OK	location	NVIDIA Share	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	00003d89ad31cd13e4df562cb2eff8ef47edd9cf4329	0006dc028ad4008f557c9985ac0e5a335f0900000904	S-1-5-21-2555952594-822551513-3886238188-1001	8880
2025-04-18 21:54:58	2025-04-18 21:54:58	Access OK	location	NVIDIA Share	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	00003d89ad31cd13e4df562cb2eff8ef47edd9cf4329	0006dc028ad4008f557c9985ac0e5a335f0900000904	S-1-5-21-2555952594-822551513-3886238188-1001	8881
2025-04-18 21:54:58	2025-04-18 21:54:58	Access OK	location	NVIDIA Share	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Share.exe	00003d89ad31cd13e4df562cb2eff8ef47edd9cf4329	0006dc028ad4008f557c9985ac0e5a335f0900000904	S-1-5-21-2555952594-822551513-3886238188-1001	8882
2025-04-18 21:55:53	2025-04-18 21:55:53	Access OK	location	NVIDIA Notification	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Notification.exe	0000bcaec0c106f7f97c09618870e0d4868a156c93ec	0006f8fc85a5b31da3032f1ef29cb4e8085000000904	S-1-5-21-2555952594-822551513-3886238188-1001	8883
2025-04-18 21:55:54	2025-04-18 21:55:54	Access OK	location	NVIDIA Notification	C:\Program Files\NVIDIA Corporation\NVIDIA GeForce Experience\NVIDIA Notification.exe	0000bcaec0c106f7f97c09618870e0d4868a156c93ec	0006f8fc85a5b31da3032f1ef29cb4e8085000000904	S-1-5-21-2555952594-822551513-3886238188-1001	8884
2025-04-18 21:57:39	2025-04-18 21:57:39	Access OK	location	Dropbox	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	0000868a86c6d26a9f8ec399d78dcc694329723d0b10	0000f61e9050bc82684a77fa94ba143f966d0000ffff	S-1-5-21-2555952594-822551513-3886238188-1001	8885
2025-04-18 21:57:39	2025-04-18 21:57:39	Access OK	location	Dropbox	C:\Program Files (x86)\Dropbox\Client\Dropbox.exe	0000868a86c6d26a9f8ec399d78dcc694329723d0b10	0000f61e9050bc82684a77fa94ba143f966d0000ffff	S-1-5-21-2555952594-822551513-3886238188-1001	8886
