Last_used_start	Last_used_stop	Access	Capability	Binary_full_path	FileID	ProgramID	UserSID	ID
N.A.	2025-04-16 17:23:38	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29122
N.A.	2025-04-16 17:23:43	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29123
N.A.	2025-04-16 17:24:00	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29124
N.A.	2025-04-16 17:24:02	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29125
N.A.	2025-04-16 17:24:30	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29126
N.A.	2025-04-16 17:24:32	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29127
N.A.	2025-04-16 17:24:59	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29128
N.A.	2025-04-16 17:25:00	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29129
N.A.	2025-04-16 17:25:40	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29130
N.A.	2025-04-16 17:25:42	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29131
N.A.	2025-04-16 17:25:56	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29132
N.A.	2025-04-16 17:26:24	Blocked	location	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	S-1-5-21-2937787367-2771787762-275716747-1001	29133
