Last_observed_time	Bin_full_path	Program_hash	File_ID_hash	File_ID
2025-04-15 18:34:14	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	0000d44ffb9f3c146e6da82376ed56489aff0000ffff	171	0000a7a5dd7b711f1aa2cdfd27a9bb237117bb16872c	234
2025-04-18 00:24:25	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	00007bd6c7b4061ac362fc14e33e3f15ea060000ffff	172	000084380949f84944945ba50dfd9b809a59ad68ffcb	235
2025-04-21 15:27:18	C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE	0000cfbf8e3d57807f696dba6642c18484900000ffff	173	0000047c34a005e11c4b15f526c159d76ac03e79f6ce	236
2025-04-21 18:58:32	C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE	0000cfbf8e3d57807f696dba6642c18484900000ffff	173	0000245d0ca8c4d2675d7701e5c773db170c7e859ddc	237
2025-04-27 21:39:54	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	00007933ca44ca1fb8a49a40e9f865595cb40000ffff	174	0000f0028865f35deca1f19255d31190ba52e47e128d	238
2025-04-30 13:41:55	C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE	0000e628acb8408a237ac73fd24a09587ef00000ffff	175	0000b840dd51b4cfeeec99ac8bd4b766cf1e4e8cc93f	239
2025-04-30 14:37:20	C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE	0000e628acb8408a237ac73fd24a09587ef00000ffff	175	0000bc384b969fd553f470557916790388c5e27fcad6	240
